sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1,runtime,0.8427645842234294
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1,llm_code_eval,"""[false, false, false, false, false, false, false, false]"""
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1,total_token_usage_pipeline,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-1,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-1,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-2,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-2,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-3,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-3,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-4,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-4,f1_approximate,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-5,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-5,f1,0.5511942951717375
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-5,precision,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-5,recall,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-6,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-6,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-7,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-7,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-8,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-8,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-1-8,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2,runtime,1.0573572794596353
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2,bleu,1.717427964450093e-78
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2,rouge,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2,llm_paraphrase,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2,total_token_usage_answers,496
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2,llm_code_eval,"""[false, false, false, false, false, false, false, false, false]"""
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2,total_token_usage_pipeline,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-1,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-1,f1,0.43432042520880787
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-1,precision,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-1,recall,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-2,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-2,bleu,4.7269475875723235e-155
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-2,rouge,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-2,llm_paraphrase,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-2,total_token_usage_answers,488
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-3,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-3,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-4,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-4,f1,0.5606796116504854
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-4,precision,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-4,recall,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-5,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-5,f1_approximate,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-6,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-6,f1,0.5511942951717375
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-6,precision,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-6,recall,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-7,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-7,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-7,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-8,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-8,f1,0.07323866490114607
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-8,precision,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-8,recall,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-8,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-9,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-9,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-hard-2-9,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3,runtime,25.550698963801064
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3,mean_absolute_error,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3,mean_squared_error,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3,mean_relative_absolute_error,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3,rae_score,1.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3,llm_code_eval,"""[false, false, false, true, true, true]"""
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3,total_token_usage_pipeline,1053
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-1,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-1,f1,0.18310333221137662
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-1,precision,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-1,recall,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-2,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-2,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-3,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-3,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-4,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-4,f1,0.12448132780082989
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-4,precision,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-4,recall,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-5,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-5,f1,0.10526315789473684
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-5,precision,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-5,recall,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-6,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-6,success,1
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-3-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4,runtime,26.422018973032632
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4,success,1
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4,llm_code_eval,"""[true, false, false, true, true]"""
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4,total_token_usage_pipeline,1020
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-1,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-1,success,1
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-2,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-2,f1,0.45161290322580644
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-2,precision,1.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-2,recall,0.3333333333333333
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-3,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-3,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-4,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-4,f1,0.15384615384615385
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-4,precision,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-4,recall,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-5,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-5,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-4-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5,runtime,22.049397675196328
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5,success,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5,total_token_usage_pipeline,978
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-1,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-1,bleu,4.568398020041479e-155
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-1,rouge,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-1,llm_paraphrase,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-1,total_token_usage_answers,539
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-2,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-2,f1,0.4360189573459715
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-2,precision,0.3333333333333333
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-2,recall,0.5
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-3,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-3,f1,0.24203869326048721
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-3,precision,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-3,recall,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-4,runtime,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-4,f1,0.20338983050847456
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-4,precision,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-4,recall,0.0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,legal.json,legal-easy-5-5,runtime,0
