sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1,runtime,23.02640728155772
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1,success,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1,llm_code_eval,"""[true, false, false, true, true, true, true]"""
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1,total_token_usage_pipeline,1397
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-1,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-1,f1,0.4102755026061057
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-1,precision,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-1,recall,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-2,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-2,f1,0.00036668092648047424
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-2,precision,0.0005977286312014345
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-2,recall,1.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-3,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-3,f1,0.07146361085493397
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-3,precision,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-3,recall,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-4,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-4,f1,5.5740583325204497e-05
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-4,precision,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-4,recall,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-5,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-5,f1,0.06032171581769437
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-5,precision,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-5,recall,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-6,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-6,f1,0.06992620266309457
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-6,precision,0.05
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-6,recall,0.00014164305949008498
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-7,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-7,success,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2,runtime,41.02883485953013
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2,success,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2,llm_code_eval,"""[false, false, false, false, false, false]"""
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2,total_token_usage_pipeline,1106
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-1,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-1,f1,0.44130945921504794
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-1,precision,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-1,recall,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-2,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-2,f1,0.048027444253859346
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-2,precision,0.1
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-2,recall,0.4
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-3,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-3,f1,0.07143562303788971
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-3,precision,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-3,recall,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-4,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-4,f1,0.05978341545063701
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-4,precision,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-4,recall,0.0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-5,runtime,0
BaselineLLMSystemGPT4oNaive,archeology.json,archeology-hard-2-5,f1,0.024735082631877254
