sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1,runtime,34.23062302271525
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1,llm_code_eval,"""[false, false, false, true, true, false, true, true]"""
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1,total_token_usage_pipeline,1694
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-1,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-1,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-2,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-2,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-3,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-3,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-4,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-4,f1_approximate,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-5,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-5,f1,0.25512408094462496
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-5,precision,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-5,recall,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-6,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-6,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-7,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-7,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-8,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-8,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-1-8,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2,runtime,56.736934916178384
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2,bleu,0.0431277585062415
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2,rouge,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2,llm_paraphrase,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2,total_token_usage_answers,533
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2,llm_code_eval,"""[false, false, false, true, false, true, true, true, true, true]"""
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2,total_token_usage_pipeline,1354
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-1,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-1,f1,0.22314507198228128
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-1,precision,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-1,recall,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-2,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-2,bleu,0.03258710687575582
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-2,rouge,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-2,llm_paraphrase,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-2,total_token_usage_answers,527
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-3,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-3,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-4,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-4,f1,0.4460176991150443
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-4,precision,0.5
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-4,recall,0.25
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-5,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-5,f1_approximate,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-6,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-6,f1,0.25512408094462496
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-6,precision,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-6,recall,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-7,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-7,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-7,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-8,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-8,f1,0.0720181292750369
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-8,precision,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-8,recall,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-8,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-9,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-9,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-2-9,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3,runtime,14.718231693903606
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3,mean_absolute_error,13.1628
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3,mean_squared_error,173.25930384000003
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3,mean_relative_absolute_error,1.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3,rae_score,0.5
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3,llm_code_eval,"""[false, false, false, false, false, true]"""
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3,total_token_usage_pipeline,1124
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-1,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-1,f1,0.2068965517241379
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-1,precision,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-1,recall,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-2,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-2,success,1
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-3,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-3,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-4,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-4,f1,0.0488135593220339
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-4,precision,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-4,recall,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-5,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-5,f1,0.04825090470446321
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-5,precision,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-5,recall,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-6,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-6,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-3-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4,runtime,11.04595233599345
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4,llm_code_eval,"""[false, false, true, false, false]"""
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4,total_token_usage_pipeline,1146
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-1,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-1,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-2,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-2,f1,0.04840993948757564
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-2,precision,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-2,recall,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-3,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-3,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-4,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-4,f1,0.03508771929824561
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-4,precision,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-4,recall,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-5,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-5,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-4-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5,runtime,11.792389170328777
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5,llm_code_eval,"""[false, false, false, true, false]"""
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5,total_token_usage_pipeline,928
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-1,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-1,bleu,4.598257466349861e-155
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-1,rouge,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-1,llm_paraphrase,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-1,total_token_usage_answers,538
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-2,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-2,f1,0.4360189573459715
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-2,precision,0.3333333333333333
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-2,recall,0.5
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-3,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-3,f1,0.24473116652162397
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-3,precision,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-3,recall,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-4,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-4,f1,0.04826546003016591
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-4,precision,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-4,recall,0.0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-5,runtime,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-5,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-easy-5-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-6,runtime,11.00334192911784
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-6,success,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,legal.json,legal-hard-6,llm_code_eval,"""[true, false, false, false, false, true]"""
