sut,workload,task_id,metric,value
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1,runtime,164.14242752393088
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1,success,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1,llm_code_eval,"""[false, false, false, false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1,total_token_usage_pipeline,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-1,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-1,success,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-2,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-2,success,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-3,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-3,success,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-4,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-4,f1_approximate,0.0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-5,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-5,f1,0.5511942951717375
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-5,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-5,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-6,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-6,success,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-7,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-7,success,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-8,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-8,success,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-1-8,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2,runtime,162.15132196744284
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2,bleu,1.717427964450093e-78
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2,rouge,0.0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2,llm_paraphrase,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2,total_token_usage_answers,496
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2,llm_code_eval,"""[false, false, false, false, false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2,total_token_usage_pipeline,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-1,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-1,f1,0.43432042520880787
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-1,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-1,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-2,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-2,bleu,4.7269475875723235e-155
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-2,rouge,0.0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-2,llm_paraphrase,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-2,total_token_usage_answers,488
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-3,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-3,success,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-4,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-4,f1,0.5606796116504854
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-4,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-4,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,legal.json,legal-hard-2-4,total_token_usage_answers,0
